unit,scenario_id,type,sensor,param,dir,timing_p,tau_s,T_u,n_after,delta_mean,delta_p50,delta_p95,delta_max,saturated,frac_gt_7.18,frac_gt_9.4,frac_gt_13.3,frac_gt_14.4
32,multiC_T24+T30+T50_a0.3_na_p0.2,multi_C,T24+T30+T50,0.3,na,0.2,82,191,110,7.862774866277522,7.26246452331543,16.481224060058594,18.81671905517578,False,0.5,0.42727272727272725,0.16363636363636364,0.10909090909090909
32,multiC_T24+T30+T50_a0.3_na_p0.4,multi_C,T24+T30+T50,0.3,na,0.4,109,191,83,5.643532304878694,4.805988311767578,12.300711059570311,14.738605499267578,False,0.3493975903614458,0.24096385542168675,0.04819277108433735,0.024096385542168676
32,multiC_T24+T30+T50_a0.3_na_p0.6,multi_C,T24+T30+T50,0.3,na,0.6,137,191,55,3.4051149801774456,3.1171131134033203,5.75936164855957,8.94400405883789,False,0.01818181818181818,0.0,0.0,0.0
32,multiC_T24+T30+T50_a0.3_na_p0.8,multi_C,T24+T30+T50,0.3,na,0.8,164,191,28,1.9406861918313163,2.025387763977051,3.066664719581604,3.7136192321777344,False,0.0,0.0,0.0,0.0
32,multiC_T24+T30+T50_a0.5_na_p0.2,multi_C,T24+T30+T50,0.5,na,0.2,82,191,110,12.588184235312722,12.091012001037598,25.43039436340332,29.50912094116211,False,0.6363636363636364,0.5545454545454546,0.4909090909090909,0.45454545454545453
32,multiC_T24+T30+T50_a0.5_na_p0.4,multi_C,T24+T30+T50,0.5,na,0.4,109,191,83,8.875403944268283,6.872138977050781,19.297070693969726,22.67230224609375,False,0.4939759036144578,0.3855421686746988,0.2891566265060241,0.25301204819277107
32,multiC_T24+T30+T50_a0.5_na_p0.6,multi_C,T24+T30+T50,0.5,na,0.6,137,191,55,5.440894551710649,4.844514846801758,9.327568626403808,13.787948608398438,False,0.3090909090909091,0.03636363636363636,0.01818181818181818,0.0
32,multiC_T24+T30+T50_a0.5_na_p0.8,multi_C,T24+T30+T50,0.5,na,0.8,164,191,28,2.9780064650944302,2.907536029815674,4.942367911338806,6.072620391845703,False,0.0,0.0,0.0,0.0
32,multiI_T24+T30+T50_a0.3_na_p0.2,multi_I,T24+T30+T50,0.3,na,0.2,82,191,110,0.8780283451080322,0.7812156677246094,2.0460010528564454,2.402080535888672,False,0.0,0.0,0.0,0.0
32,multiI_T24+T30+T50_a0.3_na_p0.4,multi_I,T24+T30+T50,0.3,na,0.4,109,191,83,0.9903556639889637,0.7220516204833984,2.7362453460693352,3.711688995361328,False,0.0,0.0,0.0,0.0
