unit,scenario_id,type,sensor,param,timing_p,tau_s,T_u,t_exit,pos_in_life,yhat_clean_at_exit,delta_at_exit,delta_min_after20,degraded_len_before,reentry_within_20,reentry_gap,is_final_exit,pattern
1,gain_T24_a2.0_pos_p0.2,gain,T24,2.0,0.2,82,192,185,0.9635416666666666,5.6736979484558105,4.4631428718566895,0.3726053237915039,86,False,,True,B
1,gain_T24_a2.0_pos_p0.4,gain,T24,2.0,0.4,110,192,185,0.9635416666666666,5.6736979484558105,4.4631428718566895,0.3726053237915039,47,False,,True,B
1,gain_T24_a2.0_pos_p0.6,gain,T24,2.0,0.6,137,192,185,0.9635416666666666,5.6736979484558105,4.4631428718566895,0.3726053237915039,24,False,,True,B
1,gain_T50_a1.0_neg_p0.2,gain,T50,1.0,0.2,82,192,122,0.6354166666666666,75.88831329345703,0.9390411376953125,0.02986907958984375,21,False,,True,C
1,gain_T50_a1.0_pos_p0.2,gain,T50,1.0,0.2,82,192,122,0.6354166666666666,75.88831329345703,4.346626281738281,0.6168594360351562,14,False,,True,C
1,gain_T50_a1.5_neg_p0.2,gain,T50,1.5,0.2,82,192,122,0.6354166666666666,75.88831329345703,2.7806015014648438,0.11103439331054688,28,False,,False,C
1,gain_T50_a1.5_neg_p0.2,gain,T50,1.5,0.2,82,192,176,0.9166666666666666,12.297952651977539,3.7178077697753906,0.6218810081481934,21,False,,True,B
1,gain_T50_a1.5_neg_p0.4,gain,T50,1.5,0.4,110,192,130,0.6770833333333334,60.60620880126953,2.6559600830078125,0.346710205078125,14,False,,False,C
1,gain_T50_a1.5_neg_p0.4,gain,T50,1.5,0.4,110,192,176,0.9166666666666666,12.297952651977539,3.7178077697753906,0.6218810081481934,21,False,,True,B
1,gain_T50_a1.5_pos_p0.2,gain,T50,1.5,0.2,82,192,126,0.65625,64.1256332397461,3.9207916259765625,0.8737297058105469,18,False,,True,C
1,gain_T50_a1.5_pos_p0.4,gain,T50,1.5,0.4,110,192,130,0.6770833333333334,60.60620880126953,0.7750740051269531,0.0504150390625,16,False,,True,C
1,gain_T50_a2.0_neg_p0.2,gain,T50,2.0,0.2,82,192,130,0.6770833333333334,60.60620880126953,1.5036544799804688,0.11841201782226562,38,False,,False,C
1,gain_T50_a2.0_neg_p0.2,gain,T50,2.0,0.2,82,192,181,0.9427083333333334,13.853273391723633,1.3365058898925781,0.17483758926391602,27,False,,True,B
1,gain_T50_a2.0_neg_p0.4,gain,T50,2.0,0.4,110,192,140,0.7291666666666666,59.442726135253906,1.4049644470214844,0.2691688537597656,28,True,14.0,False,A
1,gain_T50_a2.0_neg_p0.4,gain,T50,2.0,0.4,110,192,181,0.9427083333333334,13.853273391723633,1.3365058898925781,0.17483758926391602,27,False,,True,B
