seed,feat_idx,col,sensor,is_op,abs_mean,signed_mean,p95_abs
529,0,op1,op1,True,2.0769331455230713,-1.997310757637024,6.379299163818359
529,1,op2,op2,True,2.5805821418762207,2.2369518280029297,9.65455150604248
529,2,op3,op3,True,4.073790550231934,4.025302886962891,10.19039249420166
529,3,s2,T24,False,4.121111869812012,-4.102797985076904,10.573563575744629
529,4,s3,T30,False,1.1260830163955688,0.12140602618455887,3.0117125511169434
529,5,s4,T50,False,6.043572902679443,-5.951140403747559,16.667802810668945
529,6,s7,P30,False,4.820626258850098,4.732603073120117,16.485078811645508
529,7,s8,Nf,False,2.6056835651397705,2.3867762088775635,9.107743263244629
529,8,s9,Nc,False,1.1991262435913086,0.5292093753814697,3.2205793857574463
529,9,s11,Ps30,False,0.8756787776947021,0.11621188372373581,2.5837948322296143
529,10,s12,phi,False,3.8319058418273926,-3.5752501487731934,11.777442932128906
529,11,s13,NRf,False,2.7214815616607666,-2.6746726036071777,7.16684103012085
529,12,s14,NRc,False,0.9873070120811462,-0.25393569469451904,2.9277522563934326
529,13,s15,BPR,False,2.744868040084839,-2.707529067993164,6.925447463989258
529,14,s17,htBleed,False,0.7053124904632568,0.004348354414105415,1.8021888732910156
529,15,s20,W31,False,1.5786179304122925,-1.519937515258789,4.758528232574463
529,16,s21,W32,False,4.8637800216674805,-4.811900615692139,14.049600601196289
530,0,op1,op1,True,1.461164116859436,-1.330750584602356,4.128789901733398
530,1,op2,op2,True,2.130187511444092,1.4794411659240723,6.142146110534668
530,2,op3,op3,True,1.6922980546951294,0.8503720164299011,5.116729736328125
530,3,s2,T24,False,4.818271160125732,-4.7401509284973145,12.086151123046875
530,4,s3,T30,False,0.9849485754966736,0.09648928791284561,2.4874114990234375
530,5,s4,T50,False,4.205049991607666,-3.44474196434021,10.584615707397461
530,6,s7,P30,False,3.978632688522339,3.0105783939361572,11.77131462097168
530,7,s8,Nf,False,2.0812623500823975,0.9698787927627563,6.245602130889893
530,8,s9,Nc,False,1.7285798788070679,1.0528923273086548,5.608633518218994
530,9,s11,Ps30,False,1.0880111455917358,-1.0729602575302124,2.71476149559021
530,10,s12,phi,False,3.884648084640503,-3.048006534576416,10.405251502990723
530,11,s13,NRf,False,1.532859444618225,-1.5160682201385498,4.145399570465088
530,12,s14,NRc,False,1.6172949075698853,-1.3927615880966187,4.362798690795898
530,13,s15,BPR,False,3.249260663986206,-3.244575023651123,7.724133014678955
530,14,s17,htBleed,False,0.5384145975112915,-0.1319519579410553,1.3262346982955933
530,15,s20,W31,False,1.8421298265457153,-1.5073093175888062,5.297509670257568
530,16,s21,W32,False,4.160702705383301,-3.5037848949432373,10.644529342651367
531,0,op1,op1,True,1.565751552581787,-1.4014456272125244,5.733907222747803
531,1,op2,op2,True,2.272003650665283,0.8839784264564514,8.163695335388184
531,2,op3,op3,True,1.3482470512390137,-0.9871479868888855,4.425417900085449
531,3,s2,T24,False,5.787927627563477,-5.780285835266113,16.031158447265625
531,4,s3,T30,False,1.1880147457122803,-0.20495785772800446,4.043885707855225
531,5,s4,T50,False,4.390167236328125,-4.3786115646362305,11.518553733825684
531,6,s7,P30,False,3.0352070331573486,2.9962499141693115,9.4046630859375
531,7,s8,Nf,False,1.9186816215515137,1.543976068496704,6.236653804779053
531,8,s9,Nc,False,1.1674489974975586,0.565585196018219,3.753413438796997
531,9,s11,Ps30,False,2.258700132369995,-2.258007764816284,5.956530570983887
531,10,s12,phi,False,3.679711103439331,-3.340801954269409,11.180807113647461
531,11,s13,NRf,False,1.5929421186447144,-1.589371919631958,4.27719783782959
531,12,s14,NRc,False,1.3420662879943848,-0.50492924451828,3.7638602256774902
531,13,s15,BPR,False,2.2238564491271973,-2.150697708129883,6.4031782150268555
531,14,s17,htBleed,False,0.756242573261261,0.27762454748153687,2.464033365249634
531,15,s20,W31,False,2.8140482902526855,-2.7524328231811523,9.19963550567627
531,16,s21,W32,False,3.7562971115112305,-3.624917984008789,12.505663871765137
